record_id,doi,title,article_only_audit_decision,europe_pmc_publication_types,europe_pmc_issues,crossref_type,crossref_issue,markdown_content_signals,decision_evidence,evidence_url
doi:10.1093/geroni/igy023.1445,10.1093/geroni/igy023.1445,CPNE2: A NEW REGULATOR OF LYSOSOMAL-MITOCHONDRIAL FUNCTION INVOLVED IN AGING AND DISEASE,exclude_conference_abstract,Abstract,Suppl 1,journal-article,suppl_1,symposium_session,Europe PMC publication type Abstract; Innovation in Aging Suppl 1.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6227306/
doi:10.1093/hmg/ddab168,10.1093/hmg/ddab168,Coordinated pyruvate kinase activity is crucial for metabolic adaptation and cell survival during mitochondrial dysfunction,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",21,journal-article,21,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/hmg/ddt365,10.1093/hmg/ddt365,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",25,journal-article,25,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/hmg/ddu520,10.1093/hmg/ddu520,Potentiation of neurotoxicity in double-mutant mice with Pink1 ablation and A53T-SNCA overexpression.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/nar/gkae1176,10.1093/nar/gkae1176,Downregulation of MLF1 safeguards cardiomyocytes against senescence-associated chromatin opening.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/nar/gkae426,10.1093/nar/gkae426,The p21CIP1-CDK4-DREAM axis is a master regulator of genotoxic stress-induced cellular senescence.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",12,journal-article,12,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/nar/gkw802,10.1093/nar/gkw802,The lncRNA HOTAIR impacts on mesenchymal stem cells via triple helix formation.,retain_full_article_or_preprint,Journal Article|research-article,22,journal-article,22,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/narmme/ugaf031,10.1093/narmme/ugaf031,Active chromatin marks and up-regulation of FOXC1 in uterine epithelial cells demarcate the onset of reproductive decline in aging females.,retain_full_article_or_preprint,Journal Article|research-article,3,journal-article,3,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1096/fj.202501262rr,10.1096/fj.202501262rr,ZNF384 ‐Driven Fibulin‐1 Exacerbates Vascular Stiffness via TGF ‐β/Smad3‐Mediated Senescence and Fibrosis,retain_full_article_or_preprint,Journal Article|research-article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1097/01.hs9.0000967628.88191.88,10.1097/01.hs9.0000967628.88191.88,S179: HNRNPK OVEREXPRESSION DRIVES NUCLEOLAR ABERRANCIES CAUSING RIBOSOMPATHIES,exclude_conference_abstract,Abstract,Suppl ,journal-article,S3,,Europe PMC publication type Abstract; HemaSphere supplement abstract S179.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10428296/
doi:10.1097/01.hs9.0000967932.79281.37,10.1097/01.hs9.0000967932.79281.37,S255: CELLULAR SENESCENCE AND INFLAMMATORY PROGRAMS ARE UNINTENDED CONSEQUENCES OF CRISPR-CAS9 GENE EDITING IN HEMATOPOIETIC STEM AND PROGENITOR CELLS,exclude_conference_abstract,Abstract,Suppl ,journal-article,S3,abstract_topic,Europe PMC publication type Abstract; HemaSphere supplement abstract S255.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10428406/
doi:10.1101/153205,10.1101/153205,Doubling healthy lifespan using drug synergy,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.02.19.954578,10.1101/2020.02.19.954578,Integrated analysis of the aging brain transcriptome and proteome in tauopathy,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.05.11.088625,10.1101/2020.05.11.088625,Titan mice are a unique bred mammalian model to study obesity and aspects of metabolic syndrome,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.06.29.133702,10.1101/2020.06.29.133702,Genome-wide association studies identify 137 loci for DNA methylation biomarkers of ageing,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.11.02.364760,10.1101/2020.11.02.364760,Reduced ech-6 Expression Attenuates Fat-induced Premature Aging in C. elegans,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.12.15.422949,10.1101/2020.12.15.422949,Microbiome and Metabolome driven differentiation of TGF-β producing Tregs leads to Senescence and HIV latency,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2020.12.23.424226,10.1101/2020.12.23.424226,Overexpression of human alpha-Synuclein leads to dysregulated microbiome/metabolites with ageing in a rat model of Parkinson disease,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2021.01.22.427837,10.1101/2021.01.22.427837,Genetically independent phenotype analysis identifies LPA and VCAM1 as drug targets for human ageing,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2021.10.26.465828,10.1101/2021.10.26.465828,Glucose intolerance in aging is mediated by the Gpcpd1-GPC metabolic axis,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2022.01.06.22268846,10.1101/2022.01.06.22268846,"Genome-wide analyses of 200,453 individuals yields new insights into the causes and consequences of clonal hematopoiesis",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2022.10.09.511462,10.1101/2022.10.09.511462,Loss of cytoskeletal proteostasis links dysregulation of cell size and mechanotransduction in mesenchymal stem cell senescence,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2022.11.14.516438,10.1101/2022.11.14.516438,Expression of retrotransposons contributes to aging in Drosophila,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.01.26.525799,10.1101/2023.01.26.525799,"Genetic perturbation of mitochondrial function reveals functional role for specific mitonuclear genes, metabolites and pathways that regulate lifespan",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.06.21.545894,10.1101/2023.06.21.545894,Developmental mitochondrial Complex I activity determines lifespan,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.07.09.548232,10.1101/2023.07.09.548232,Systems biology and machine learning approaches identify metabolites that influence dietary lifespan and healthspan responses across flies and humans,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.08.15.553416,10.1101/2023.08.15.553416,An eQTL-based Approach Reveals Candidate Regulators of LINE-1 RNA Levels in Lymphoblastoid Cells,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.11.20.567963,10.1101/2023.11.20.567963,Linked regulation of genome integrity and senescence-associated inflammation by p53.,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2023.11.22.568379,10.1101/2023.11.22.568379,"Loss of cardiac PFKFB2 drives Metabolic, Functional, and Electrophysiological Remodeling in the Heart",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.01.16.575677,10.1101/2024.01.16.575677,Neuronal polyunsaturated fatty acids are protective in FTD/ALS,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.02.29.582831,10.1101/2024.02.29.582831,Sexually dimorphic renal expression of Klotho is directed by a kidney-specific distal enhancer responsive to HNF1b,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.03.29.586905,10.1101/2024.03.29.586905,Tumour-derived extracellular vesicles within the therapy-induced senescent secretome distinctly suppress breast cancer via DKK1-mediated inflammatory response,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.04.04.588128,10.1101/2024.04.04.588128,"Proteasome hyperactivation rewires the proteome enhancing stress resistance, proteostasis, lipid metabolism and ERAD in C. elegans",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.04.25.591125,10.1101/2024.04.25.591125,Sex-Specific Deflection of Age-Related DNA Methylation and Gene Expression in Mouse Heart by Perinatal Toxicant Exposures,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.05.03.592475,10.1101/2024.05.03.592475,Estropausal gut microbiota transplant improves measures of ovarian function in adult mice.,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.07.13.24310153,10.1101/2024.07.13.24310153,"Proteome-wide Mendelian randomization study implicates inflammaging biomarkers in retinal vasculature, cardiometabolic diseases and longevity",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.07.26.605278,10.1101/2024.07.26.605278,Polyamines sustain epithelial regeneration in aged intestines by modulating protein homeostasis,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.07.30.605752,10.1101/2024.07.30.605752,Ganoderma lucidum alleviates kidney aging by modulating gut microbiota,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.09.12.612207,10.1101/2024.09.12.612207,Protective variant in PLCγ2 mitigates Alzheimer’s disease-associated pathologies via enhancing beneficial microglia functions,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.11.01.621468,10.1101/2024.11.01.621468,TET2-mediated epigenetic modification promotes stress senescence of pancreatic β cells in type 2 diabetes mellitus,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2024.12.04.24318451,10.1101/2024.12.04.24318451,A 2-year calorie restriction intervention reduces glycomic biological age biomarkers.,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.01.10.632413,10.1101/2025.01.10.632413,Bypassing cisplatin resistance in Nrf2 hyperactivated head and neck cancer through effective PI3Kinase targeting,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.02.28.640731,10.1101/2025.02.28.640731,Mutation of an insulin-sensitive Drosophila insulin-like receptor mutant requires methionine metabolism reprogramming to extend lifespan,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.03.18.25324169,10.1101/2025.03.18.25324169,Obesity- and age-dependent genetic regulation of the plasma proteome in children and adolescents,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.05.16.654624,10.1101/2025.05.16.654624,Dietary glutamine supplementation alleviates age-related cardiac dysfunction by reducing elevated H3K27me3,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.06.17.660160,10.1101/2025.06.17.660160,Broad epigenetic shifts in the aging Drosophila retina contribute to its altered rhythmic transcriptome,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.07.10.25331263,10.1101/2025.07.10.25331263,"Multi-organ MRI digitizes biological aging clocks across proteomics, metabolomics, and genetics",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.07.29.666777,10.1101/2025.07.29.666777,Molecular Mechanisms of Cardiomyocyte Aging.,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.08.08.25333313,10.1101/2025.08.08.25333313,Sleep chart of biological aging clocks across organs and omics,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.09.17.676776,10.1101/2025.09.17.676776,"Nucleosome stability safeguards cell identity, stress resilience and healthy aging.",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.09.26.678810,10.1101/2025.09.26.678810,In-situ glial cell-surface proteomics identifies pro-longevity factors in Drosophila,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.09.30.679481,10.1101/2025.09.30.679481,"Imp, a key regulator of transposable elements, cell growth, and differentiation genes during embryogenesis",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.10.08.681100,10.1101/2025.10.08.681100,Endothelial expression of ZBTB16 protects against cardiac aging,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.10.22.682160,10.1101/2025.10.22.682160,Cardiomyocyte-specific plakophilin-2 loss is sufficient to induce aging and senescence of nonmyocytes. Relevance to arrhythmogenic cardiomyopathy,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.10.25.683217,10.1101/2025.10.25.683217,Protracted fate acquisition and epigenetic de-aging during induced neural stem cell conversion of human blood cells,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.11.15.25340310,10.1101/2025.11.15.25340310,A photoplethysmography-based aging clock reveals genetic determinants of arterial aging,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/2025.11.22.689949,10.1101/2025.11.22.689949,Form and function of actin impacts actin health and aging,retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1101/680462,10.1101/680462,"Nicotinamide riboside augments the human skeletal muscle NAD+ metabolome and induces transcriptomic and anti-inflammatory signatures in aged subjects: a placebo-controlled, randomized trial",retain_full_article_or_preprint,Preprint,,posted-content,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1105/tpc.111.090894,10.1105/tpc.111.090894,"JUNGBRUNNEN1 , a Reactive Oxygen Species–Responsive NAC Transcription Factor, Regulates Longevity in Arabidopsis",retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.12849,10.1111/acel.12849,JNK modifies neuronal metabolism to promote proteostasis and longevity.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",3,journal-article,3,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.13173,10.1111/acel.13173,The NSD2/WHSC1/MMSET methyltransferase prevents cellular senescence-associated epigenomic remodeling.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.13199,10.1111/acel.13199,"The phytochemical epigallocatechin gallate prolongs the lifespan by improving lipid metabolism, reducing inflammation and oxidative stress in high-fat diet-fed obese rats.",retain_full_article_or_preprint,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|research-article",9,journal-article,9,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.13858,10.1111/acel.13858,AP-1 is a regulatory transcription factor of inflammaging in the murine kidney and liver.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.14081,10.1111/acel.14081,L-arginine metabolism ameliorates age-related cognitive impairment by Amuc_1100-mediated gut homeostasis maintaining.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.14150,10.1111/acel.14150,Progeria-based vascular model identifies networks associated with cardiovascular aging and disease.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70065,10.1111/acel.70065,"Identifying PDAP1 as a Biological Target on Human Longevity: Integration of Mendelian Randomization, Cohort, and Cell Experiments Validation Study.",retain_full_article_or_preprint,Journal Article|research-article,7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70108,10.1111/acel.70108,Quercetin Reduces Vascular Senescence and Inflammation in Symptomatic Male but Not Female Coronary Artery Disease Patients.,retain_full_article_or_preprint,Journal Article|Randomized Controlled Trial|research-article,8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70166,10.1111/acel.70166,L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.,retain_full_article_or_preprint,Journal Article|research-article,9,journal-article,9,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70279,10.1111/acel.70279,Association of Epigenetic Age Acceleration and Mitochondrial DNA-Based Aging Metrics Provides Insights Into Mechanisms of Aging-Related Diseases.,retain_full_article_or_preprint,Journal Article|research-article,12,journal-article,12,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70343,10.1111/acel.70343,A Histone Code Functionally Linked to Replicative Senescence.,retain_full_article_or_preprint,Journal Article|brief-report,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/acel.70396,10.1111/acel.70396,Broad Epigenetic Shifts in the Aging Drosophila Retina Contribute to Its Altered Diurnal Rhythmic Transcriptome.,retain_full_article_or_preprint,Journal Article|research-article,2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/bph.15410,10.1111/bph.15410,Sodium rutin extends lifespan and health span in mice including positive impacts on liver health.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",9,journal-article,9,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/cns.70415,10.1111/cns.70415,miR‐484 in Hippocampal Astrocytes of Aged and Young Rats Targets CSF‐1 to Regulate Neural Progenitor/Stem Cell Proliferation and Differentiation Into Neurons,retain_full_article_or_preprint,"Interactive Tutorial|Research Support, Non-U.S. Gov't|research-article",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/cpr.13337,10.1111/cpr.13337,PFKFB4 facilitates palbociclib resistance in oestrogen receptor‐positive breast cancer by enhancing stemness,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/pce.13330,10.1111/pce.13330,Genes for seed longevity in barley identified by genomic analysis on near isogenic lines.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/tpj.14125,10.1111/tpj.14125,Polycomb repressive complex 2 attenuates ABA‐induced senescence in Arabidopsis,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1111/tpj.71045,10.1111/tpj.71045,The NAC transcription factor BrrNAC082 positively mediates leaf senescence in Brassica rapa.,retain_full_article_or_preprint,Journal Article|research-article,2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1126/sciadv.aaz6477,10.1126/sciadv.aaz6477,"EED-mediated histone methylation is critical for CNS myelination and remyelination by inhibiting WNT, BMP, and senescence pathways",retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",33,journal-article,33,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1126/sciadv.abj1604,10.1126/sciadv.abj1604,Exportin 1 modulates life span by regulating nucleolar dynamics via the autophagy protein LGG-1/GABARAP,retain_full_article_or_preprint,Journal Article|research-article,13,journal-article,13,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1126/sciadv.abo5482,10.1126/sciadv.abo5482,Rapamycin treatment during development extends life span and health span of male mice and Daphnia magna .,retain_full_article_or_preprint,Journal Article|research-article,37,journal-article,37,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1126/sciadv.adz4847,10.1126/sciadv.adz4847,Blocking nuclear receptor Nr4a3 unlocks the senescence barrier to promote direct cardiac reprogramming.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",46,journal-article,46,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1128/mcb.00522-16,10.1128/mcb.00522-16,The Chromatin-Associated Phf12 Protein Maintains Nucleolar Integrity and Prevents Premature Cellular Senescence.,retain_full_article_or_preprint,Journal Article|research-article,5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1128/msystems.01487-24,10.1128/msystems.01487-24,Honeybees fed D-galactose exhibit aging signs with changes in gut microbiota and metabolism.,retain_full_article_or_preprint,Journal Article|research-article,4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1136/heartjnl-2026-327950,10.1136/heartjnl-2026-327950,Abdominal adiposity and accelerated biological ageing in relation to general and cardiovascular ageing in Chinese adults,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1161/circulationaha.121.056286,10.1161/circulationaha.121.056286,Heteroplasmy of Wild-Type Mitochondrial DNA Variants in Mice Causes Metabolic Heart Disease With Pulmonary Hypertension and Frailty,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",14,journal-article,14,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1161/circulationaha.121.056456,10.1161/circulationaha.121.056456,Epigenetic Age and the Risk of Incident Atrial Fibrillation.,retain_full_article_or_preprint,"Clinical Trial|Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",24,journal-article,24,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1161/jaha.125.047447,10.1161/jaha.125.047447,Cardiomyocyte‐Specific Plakophilin‐2 Loss Is Sufficient to Induce Aging and Senescence of Nonmyocytes: Relevance to Arrhythmogenic Cardiomyopathy,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",9,journal-article,9,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1167/iovs.67.4.30,10.1167/iovs.67.4.30,Modulation of Iron-Induced Glucose Metabolic Reprogramming Alleviates Retinal Pigment Epithelial Cell Senescence,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1172/jci.insight.192047,10.1172/jci.insight.192047,Inhibition of AhR improves cortical bone and skeletal muscle function via preservation of neuromuscular junctions,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",16,journal-article,16,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1177/0022034520958374,10.1177/0022034520958374,Serine Metabolism Controls Dental Pulp Stem Cell Aging by Regulating the DNA Methylation of p16.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/1471-2164-15-927,10.1186/1471-2164-15-927,Transcriptional and epigenetic responses to mating and aging in Drosophila melanogaster,retain_full_article_or_preprint,Journal Article|research-article,,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12864-026-12574-5,10.1186/s12864-026-12574-5,"KLHDC3 deficiency in mice reveals essential roles in development, survival, and adiposity via the DesCEND ubiquitin pathway.",retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12885-017-3472-5,10.1186/s12885-017-3472-5,Loss of DIP2C in RKO cells stimulates changes in DNA methylation and epithelial-mesenchymal transition,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12916-023-03067-3,10.1186/s12916-023-03067-3,The effect of polyphenols on DNA methylation-assessed biological age attenuation: the DIRECT PLUS randomized controlled trial,retain_full_article_or_preprint,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12951-025-03612-7,10.1186/s12951-025-03612-7,Extracellular vesicles from ovarian cancer cells induce senescent lipid-laden macrophages to facilitate omental metastasis,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12951-026-04362-w,10.1186/s12951-026-04362-w,A multifunctional ICAM1-directed MnO₂@ZIF8 nanoplatform with Tanshinone IIA synergistically reverses senescence and restores alveolar regeneration in septic lung injury,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12964-020-00634-6,10.1186/s12964-020-00634-6,Yes-associated protein (YAP) induces a secretome phenotype and transcriptionally regulates plasminogen activator Inhibitor-1 (PAI-1) expression in hepatocarcinogenesis.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s12974-017-0928-0,10.1186/s12974-017-0928-0,"Progression of pathology in PINK1-deficient mouse brain from splicing via ubiquitination, ER stress, and mitophagy changes to neuroinflammation.",retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s13024-017-0212-x,10.1186/s13024-017-0212-x,Hexokinases link DJ-1 to the PINK1/parkin pathway.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s13024-023-00628-1,10.1186/s13024-023-00628-1,Overexpression of human alpha-Synuclein leads to dysregulated microbiome/metabolites with ageing in a rat model of Parkinson disease,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s13024-024-00746-4,10.1186/s13024-024-00746-4,Pathological characteristics of axons and alterations of proteomic and lipidomic profiles in midbrain dopaminergic neurodegeneration induced by WDR45-deficiency,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1186/s13024-025-00802-7,10.1186/s13024-025-00802-7,Cellular senescence induced by cholesterol accumulation is mediated by lysosomal ABCA1 in APOE4 and AD,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
